time,ms,motvel,vehvel,
Wed Jun 25 08:38:37 EDT 2014,1403699917926,0.0,0.0,
Wed Jun 25 08:38:41 EDT 2014,1403699921056,0.0,0.0,
Wed Jun 25 08:38:41 EDT 2014,1403699921746,0.0,0.0,
Wed Jun 25 08:38:42 EDT 2014,1403699922351,0.0,0.0,
Wed Jun 25 08:38:42 EDT 2014,1403699922631,0.0,0.0,
Wed Jun 25 08:38:43 EDT 2014,1403699923751,0.0,0.0,
Wed Jun 25 08:38:43 EDT 2014,1403699923991,0.0,0.0,
Wed Jun 25 08:38:44 EDT 2014,1403699924121,0.0,0.0,
Wed Jun 25 08:38:44 EDT 2014,1403699924391,0.0,0.0,
Wed Jun 25 08:38:44 EDT 2014,1403699924521,0.0,0.0,
Wed Jun 25 08:38:44 EDT 2014,1403699924741,0.0,0.0,
Wed Jun 25 08:38:44 EDT 2014,1403699924941,0.0,0.0,
Wed Jun 25 08:38:45 EDT 2014,1403699925151,0.0,0.0,
Wed Jun 25 08:38:45 EDT 2014,1403699925351,0.0,0.0,
Wed Jun 25 08:38:45 EDT 2014,1403699925801,0.0,0.0,
Wed Jun 25 08:38:46 EDT 2014,1403699926466,0.0,0.0,
Wed Jun 25 08:38:46 EDT 2014,1403699926666,0.0,0.0,
Wed Jun 25 08:38:46 EDT 2014,1403699926756,0.0,0.0,
Wed Jun 25 08:38:47 EDT 2014,1403699927046,0.0,0.0,
Wed Jun 25 08:38:47 EDT 2014,1403699927146,0.0,0.0,
Wed Jun 25 08:38:47 EDT 2014,1403699927326,0.0,0.0,
Wed Jun 25 08:38:47 EDT 2014,1403699927566,0.0,0.0,
Wed Jun 25 08:38:48 EDT 2014,1403699928376,0.0,0.0,
Wed Jun 25 08:38:48 EDT 2014,1403699928576,0.0,0.0,
Wed Jun 25 08:38:49 EDT 2014,1403699929266,0.0,0.0,
Wed Jun 25 08:38:49 EDT 2014,1403699929906,0.0,0.0,
Wed Jun 25 08:38:50 EDT 2014,1403699930523,0.0,0.0,
Wed Jun 25 08:38:50 EDT 2014,1403699930644,0.0,0.0,
Wed Jun 25 08:38:50 EDT 2014,1403699930874,0.0,0.0,
Wed Jun 25 08:38:50 EDT 2014,1403699930984,0.0,0.0,
Wed Jun 25 08:38:51 EDT 2014,1403699931174,0.0,0.0,
Wed Jun 25 08:38:51 EDT 2014,1403699931894,0.0,0.0,
Wed Jun 25 08:38:52 EDT 2014,1403699932124,0.0,0.0,
Wed Jun 25 08:39:06 EDT 2014,1403699946304,0.0,0.0,
Wed Jun 25 08:40:10 EDT 2014,1403700010245,0.0,0.0,
Wed Jun 25 08:40:10 EDT 2014,1403700010565,0.0,0.0,
Wed Jun 25 08:40:10 EDT 2014,1403700010825,0.0,0.0,
Wed Jun 25 08:40:11 EDT 2014,1403700011865,0.0,0.0,
Wed Jun 25 08:40:13 EDT 2014,1403700013275,0.0,0.0,
Wed Jun 25 08:40:13 EDT 2014,1403700013785,0.0,0.0,
Wed Jun 25 08:40:14 EDT 2014,1403700014225,0.0,0.0,
Wed Jun 25 08:40:14 EDT 2014,1403700014415,0.0,0.0,
Wed Jun 25 08:40:14 EDT 2014,1403700014695,0.0,0.0,
Wed Jun 25 08:40:14 EDT 2014,1403700014825,0.0,0.0,
Wed Jun 25 08:40:14 EDT 2014,1403700014975,0.0,0.0,
Wed Jun 25 08:40:26 EDT 2014,1403700026405,0.0,0.0,
Wed Jun 25 08:40:26 EDT 2014,1403700026605,0.0,0.0,
Wed Jun 25 08:40:28 EDT 2014,1403700028685,0.0,0.0,
Wed Jun 25 08:40:29 EDT 2014,1403700029795,0.0,0.0,
Wed Jun 25 08:40:29 EDT 2014,1403700029995,0.0,0.0,
Wed Jun 25 08:40:30 EDT 2014,1403700030285,0.0,0.0,
Wed Jun 25 08:40:30 EDT 2014,1403700030435,0.0,0.0,
Wed Jun 25 08:40:43 EDT 2014,1403700043965,0.0,0.0,
Wed Jun 25 08:40:44 EDT 2014,1403700044415,0.0,0.0,
Wed Jun 25 08:40:47 EDT 2014,1403700047165,0.0,0.0,
Wed Jun 25 08:41:02 EDT 2014,1403700062425,0.0,0.0,
Wed Jun 25 08:41:02 EDT 2014,1403700062625,0.0,0.0,
Wed Jun 25 08:41:03 EDT 2014,1403700063215,0.0,0.0,
Wed Jun 25 08:41:14 EDT 2014,1403700074575,0.0,0.0,
Wed Jun 25 08:41:30 EDT 2014,1403700090605,0.0,0.0,
Wed Jun 25 08:41:30 EDT 2014,1403700090905,0.0,0.0,
Wed Jun 25 08:41:32 EDT 2014,1403700092255,0.0,0.0,
Wed Jun 25 08:41:44 EDT 2014,1403700104265,0.0,0.0,
Wed Jun 25 08:41:44 EDT 2014,1403700104525,0.0,0.0,
Wed Jun 25 08:41:45 EDT 2014,1403700105115,0.0,0.0,
Wed Jun 25 08:41:45 EDT 2014,1403700105525,0.0,0.0,
Wed Jun 25 08:41:46 EDT 2014,1403700106155,0.0,0.0,
Wed Jun 25 08:41:46 EDT 2014,1403700106325,0.0,0.0,
Wed Jun 25 08:41:46 EDT 2014,1403700106535,0.0,0.0,
